category,sector,title,detail,outlay
Distributive,Commerce & Industry,Electronics Component Manufacturing Scheme,Incentives for domestic electronics component manufacturing and global value chains.,"₹22,919 crore"
Distributive,Commerce & Industry,New Industrial Corridor Nodes,12 new smart industrial cities across 10 states under National Industrial Corridor Programme.,"₹28,602 crore"
Distributive,Commerce & Industry,Diamond Imprest Authorisation Scheme,Duty-free import of small natural diamonds for qualifying exporters.,-
Distributive,Commerce & Industry,Ethanol Interest Subvention for Cooperative Sugar Mills,6% interest subvention for 5 years for conversion to multi-feedstock ethanol plants.,-
Distributive,Commerce & Industry,BioE3 Policy — High-Performance Biomanufacturing,Innovation support for bio-based R&D; Bio-AI hubs and Biofoundry establishment.,-
Distributive,Commerce & Industry,"₹1,000 Crore VC Fund for Space Startups",INSPACe venture capital fund; ₹150-200 crore/year over 2025-30.,"₹1,000 crore"
Distributive,Electricity,Viability Gap Funding for Offshore Wind Energy,1 GW offshore wind (500 MW each off Gujarat & Tamil Nadu); port upgrades.,"₹7,453 crore"
Distributive,Electricity,Model Solar Village Scheme,₹1 crore per district to solarise one village via competition under PM-Surya Ghar Yojana.,-
Distributive,Electricity,Green Hydrogen Production Incentive (SIGHT Tranche-II),"4,50,000 MT capacity allocation via bidding; incentive up to ₹50/kg declining over 3 years.",-
Distributive,Petroleum,PM JI-VAN Yojana Modifications,Extended 5 years; expanded to support second-gen ethanol from agricultural residues and algae.,-
Distributive,Rural Development,PMGSY-IV — Rural Roads,"62,500 km roads connecting 25,000 unconnected habitations over 5 years.","₹70,125 crore"
Distributive,Housing,PMAY — Gramin Continuation,2 crore additional pucca houses; ₹1.20-1.30 lakh per house.,"₹3,06,137 crore"
Distributive,Education,PM Vidyalakshmi — Student Loans,Collateral-free loans for students in top-ranked institutions; 3% interest subvention.,-
Distributive,Science & Tech,Vigyan Dhara Scheme,"Merges 3 R&D schemes; research labs, transnational collaboration, women in science.","₹10,580 crore"
Distributive,Tribal Affairs,PM Janjatiya Unnat Gram Abhiyan,"25 interventions across 63,000 villages covering housing, roads, water, health, education.","₹79,156 crore"
Distributive,Home Affairs,National Forensic Infrastructure Enhancement Scheme,"NFSU campuses, Central Forensic Science Laboratories; target >90% conviction rate.","₹2,254 crore"
Distributive,Corporate Affairs,PM Internship Scheme — Pilot,"1.25 lakh internships in top-500 CSR companies; ₹5,000/month stipend.",-
Distributive,Skill Development,Skill India Programme Continuation,"Combines PMKVY, apprenticeship promotion, and Jan Shikshan Sansthan schemes.","₹8,800 crore"
Distributive,Health,Ni-kshay Poshan Yojana Expansion (TB Nutrition),"Monthly support doubled to ₹1,000 per TB patient; nutritional supplements for underweight patients.","₹1,040 crore"
Redistributive,Finance,Union Budget 2025-26 — Tax Reforms,New tax slabs: 100% rebate on income up to ₹12 lakh; enhanced TDS/TCS limits; fiscal deficit target 4.4% of GDP.,-
Redistributive,Finance,Unified Pension Scheme (UPS),Assured 50% pension of last-12-month average pay for 25+ years of service; inflation-indexed; govt contribution 14%→18.5%.,-
Redistributive,Health,Ayushman Bharat Expansion to All Senior Citizens (70+),₹5 lakh cashless hospitalisation for all 70+ citizens; additional ₹5 lakh for those already covered.,-
Redistributive,Housing,PMAY — Urban 2.0,"Financial assistance for 1 crore urban families; ₹2.5 lakh for construction, 4% interest subsidy, rental housing.","₹2,30,000 crore"
Redistributive,Finance,RBI Priority Sector Lending — Revised Directions,UCB PSL target 60%; renewable energy loan limit ₹35 crore; transgenders added to weaker sections.,-
Redistributive,Finance,"Income Tax Bill, 2025",Replaces 1961 Act; expands search powers to virtual digital spaces; virtual digital assets as undisclosed income.,-
Regulatory,Finance,RBI Directions on Wilful & Large Defaulters,"Classification procedure for wilful defaulters (≥₹25 lakh); covers diversion of funds, siphoning.",-
Regulatory,Finance,IRDAI Master Circular on Health Insurance,Supersedes 55 circulars; mandates coverage for all ages/conditions; cashless settlement within 1 hour.,-
Regulatory,Finance,RBI Directions for Asset Reconstruction Companies,Minimum NOF ₹300 crore; mandatory security receipt rating within 6 months.,-
Regulatory,Finance,RBI — Housing Finance Company Framework Amended,Deposit-accepting HFCs regulated at par with NBFCs.,-
Regulatory,Finance,RBI — P2P Lending Platform Directions Revised,Platforms cannot assume credit risk; banned promoting P2P as assured-return investment.,-
Regulatory,Finance,SEBI — Mutual Fund & AMC Regulations,New investment product (min ₹10 lakh); passive fund framework; anti-market-abuse mechanisms.,-
Regulatory,Finance,SEBI — SME Listing Framework Amended,SMEs must show ₹1 crore operating profit in 2 of 3 previous years.,-
Regulatory,Finance,SEBI — FPI Disclosure Threshold Raised,"Disclosure threshold raised from ₹25,000 crore to ₹50,000 crore.",-
Regulatory,Finance,SEBI — Real-Time Price Data Sharing Norms,Stock exchanges barred from sharing data with gaming/virtual-trading platforms.,-
Regulatory,Finance,SEBI — Bar on Association with Unregistered Advisors,SEBI-regulated entities prohibited from association with unregistered advisory persons.,-
Regulatory,Finance,Cross-Border Equity Swaps Permitted,FEMA rules amended; 100% FDI in white-label ATMs via automatic route.,-
Regulatory,Finance,SEBI — Cybersecurity & AI Frameworks,Cybersecurity framework with data localisation; AI framework making entities responsible for outputs.,-
Regulatory,Finance,"Banking Laws (Amendment) Bill, 2024",Up to 4 nominees for bank deposits; fortnight redefined; cooperative bank director tenure raised to 10 years.,-
Regulatory,Mines,Offshore Mineral Conservation & Development Rules,Mandatory exploration/production plans; buffer zones; no mining within 1 nautical mile of shore.,-
Regulatory,Mines,Offshore Mineral Trust & Auction Rules,Production and composite licences via auction; 10% royalty to Trust Fund.,-
Regulatory,Commerce & Industry,"Boilers Bill, 2024","Replaces 1923 Act; retains provisions for safe manufacture, installation, use of boilers.",-
Regulatory,Commerce & Industry,Oilfields (Regulation & Development) Amendment Bill,Expanded mineral oils definition; introduced petroleum lease; added penalties.,-
Regulatory,Commerce & Industry,MSME Classification Thresholds Revised,Investment/turnover limits raised — Micro: ₹2.5cr/₹10cr; Small: ₹25cr/₹100cr; Medium: ₹125cr/₹500cr.,-
Regulatory,Telecom & IT,TRAI — Telecom Infrastructure & Spectrum Sharing,All passive/active infrastructure sharable; spectrum sharing with 2-year lock-in.,-
Regulatory,Telecom & IT,Aadhaar Authentication Rules Amended,Added 'promoting ease of living' as purpose; non-government entities can propose uses.,-
Regulatory,Electricity,CERC — Inter-State Transmission Licence Regulations,Exemption for distribution licensees and bulk consumers; additional works under existing licences.,-
Regulatory,Electricity,Cross-Border Electricity Trade Guidelines Amended,Additional fuel sources for exports; export-oriented generators can sell domestically.,-
Regulatory,Civil Aviation,"Bharatiya Vayuyan Vidheyak, 2024","Replaces Aircraft Act, 1934; establishes DGCA, BCAS, AAIB; two-tier appellate mechanism.",-
Regulatory,Civil Aviation,Aircraft Security Rules Amended,DG BCAS can refuse entry to aircraft; prohibition on false safety information.,-
Regulatory,Civil Aviation,Protection of Interests in Aircraft Objects Bill,Implements Cape Town Convention; creditor remedies within 2 months on default.,-
Regulatory,Shipping,"Merchant Shipping Bill, 2024",Mandatory registration for all vessels; relaxed ownership criteria to include OCIs.,-
Regulatory,Shipping,"Coastal Shipping Bill, 2024",Coasting trade expanded to include services; Indian-owned vessels exempt from licence.,-
Regulatory,Shipping,"Bills of Lading Bill, 2024",Replaces 1856 Act; retains bill of lading as conclusive evidence of goods.,-
Regulatory,Shipping,"Carriage of Goods by Sea Bill, 2024",Replaces 1925 Act; retains Hague Rules framework.,-
Regulatory,Road Transport,Voluntary Vehicle Modernisation Programme,"Vehicle scrapping policy with scrapping facilities, automated testing, manufacturer discounts.",-
Regulatory,Environment,Public Liability Insurance Rules Amended,Max insurer liability raised to ₹250 crore per accident; ₹5 lakh relief for death.,-
Regulatory,Environment,"End-of-Life Vehicles Rules, 2025",EPR obligations on producers; 8% steel scrapping target; environmental compensation.,-
Regulatory,Education,UGC — Faculty & VC Appointment Draft Regulations,VCs from industry/public policy; contract faculty 6-month cap.,-
Regulatory,Education,RTE Rules Amended — Holding Back Students,Students in classes 5 and 8 held back after failing re-exam; competency-based testing.,-
Regulatory,Education,UGC PG Curriculum & Credit Framework,Subject switching in PG; industry credits; exit with PG diploma after 1 year.,-
Regulatory,Health,Uniform Code for Medical Device Marketing,"Prohibits unqualified 'safe' claims; brand reminders capped at ₹1,000; Ethics Committees.",-
Regulatory,Media,TRAI — Broadcasting & Cable Tariff/QoS Amended,NCF ceiling removed; DPO discounts raised to 45%; financial penalties.,-
Regulatory,Law & Justice,Bombay HC Struck Down IT Rules (Fact Check Unit),Government FCU violates free speech (Art 19); terms 'false or misleading' vague.,-
Regulatory,Minority Affairs,"Waqf (Amendment) Bill, 2024",5-year Muslim practice for waqf declaration; waqf-by-user removed; non-Muslims on Council/Boards.,-
Constituent,Finance,Eighth Central Pay Commission Approved,Constitution approved for central government employees; 7th Pay Commission expires 2026.,-
Constituent,Finance,RBI — Small Finance Bank to Universal Bank Transition,"Voluntary path: 5-year track record, listed, ₹1,000 crore net worth, 2-year profitability.",-
Constituent,Finance,SEBI — Same-Day Settlement Scope Expanded,Optional T+0 settlement expanded from top 25 to top 500 companies by market cap.,-
Constituent,Law & Justice,Simultaneous Elections — 129th Constitutional Amendment Bill,Synchronise Lok Sabha and all State Assembly elections; referred to JPC.,-
Constituent,Law & Justice,"Union Territories Laws (Amendment) Bill, 2024","Simultaneous elections for UT legislatures (Puducherry, Delhi, J&K).",-
Constituent,Home Affairs,"Disaster Management (Amendment) Bill, 2024",Urban Disaster Management Authorities and State Disaster Response Forces.,-
Constituent,Home Affairs,"Immigration and Foreigners Bill, 2025",Consolidates 4 Acts; Bureau of Immigration; registration of foreigners.,-
Constituent,Railways,"Railways (Amendment) Bill, 2024","Repeals Railway Board Act, 1905; incorporates into Railways Act, 1989.",-
Constituent,Shipping,"Indian Ports Bill, 2025",Maritime State Development Council; statutory State Maritime Boards; Dispute Resolution Committees.,-
Constituent,Telecom & IT,TRAI — Regulatory Sandbox Framework,Test environment for new digital services; 12-month permissions; DBN funding possible.,-
Constituent,Mines,SC Upheld States' Power to Tax Mineral-Bearing Lands,Royalty is not a tax; states can tax mineral lands; Parliament cannot limit states' taxing powers.,-
Constituent,Law & Justice,SC Struck Down Domicile Reservations in PG Medical,Residence-based reservation in PG medical violates Art 14; state-quota PG seats on NEET merit.,-
Constituent,Law & Justice,SC Ruled Against Unilateral Arbitrator Appointment,Government/PSUs cannot unilaterally appoint arbitrators; violates Art 14.,-
Constituent,Sports,"Draft National Sports Governance Bill, 2024","Sports Regulatory Board of India; regulates NOC, NPC, NSFs; Appellate Sports Tribunal.",-
Constituent,Law & Justice,"Goa ST Assembly Reservation Bill, 2024",Reserve seats in Goa Assembly for Scheduled Tribes based on 2001 Census.,-
Constituent,Home Affairs,India-Bangladesh Border Monitoring Committee,5-member committee under ADG BSF to monitor border situation.,-
Constituent,Education,"Tribhuvan Sahkari University Bill, 2025",Establishes IRMA as Tribhuvan Sahkari University.,-
Constituent,Education,CBSE Draft — Two Board Exams per Year for Class X,Two exam windows from 2026; results released together.,-
